experiment,group,is_representative,mean_r,mean_g,mean_b,std_r,std_g,std_b,brightness
AC17,3,0,0.0536,0.0884,0.1602,0.1087,0.1042,0.1001,0.1007
AC18,3,0,0.0533,0.0891,0.1576,0.1088,0.1044,0.1003,0.1000
AC19,3,0,0.0562,0.0901,0.1563,0.1116,0.1051,0.0998,0.1009
AC20,0,0,0.0578,0.0967,0.1285,0.1087,0.1040,0.0968,0.0943
AC21,3,0,0.0541,0.0890,0.1497,0.1090,0.1039,0.0986,0.0976
AC22,3,1,0.0552,0.0901,0.1564,0.1130,0.1068,0.1003,0.1006
AC23,1,0,0.0420,0.0725,0.1422,0.0794,0.0764,0.0846,0.0855
AC24,4,0,0.0618,0.1138,0.1703,0.0835,0.0877,0.0866,0.1153
AC25,1,0,0.0444,0.0755,0.1389,0.0824,0.0787,0.0843,0.0863
AC26,1,1,0.0426,0.0728,0.1377,0.0796,0.0769,0.0835,0.0844
AC27,4,1,0.0640,0.1160,0.1719,0.0853,0.0880,0.0865,0.1173
AC28,1,0,0.0451,0.0751,0.1391,0.0818,0.0779,0.0838,0.0864
AC29,1,0,0.0454,0.0752,0.1374,0.0813,0.0773,0.0837,0.0860
AC30,1,0,0.0440,0.0739,0.1375,0.0801,0.0766,0.0827,0.0851
AC31,0,1,0.0685,0.0869,0.1283,0.1155,0.0875,0.0871,0.0945
AC32,1,0,0.0417,0.0709,0.1325,0.0771,0.0741,0.0826,0.0817
AC33,1,0,0.0423,0.0718,0.1333,0.0769,0.0741,0.0828,0.0825
AC34,1,0,0.0398,0.0691,0.1315,0.0745,0.0730,0.0828,0.0801
AC35,1,0,0.0396,0.0701,0.1326,0.0747,0.0732,0.0831,0.0807
AC38,1,0,0.0403,0.0712,0.1324,0.0754,0.0737,0.0841,0.0813
AC39,3,0,0.0626,0.0922,0.1533,0.1210,0.1124,0.1022,0.1027
AC40,8,0,0.0657,0.0941,0.1497,0.1232,0.1133,0.1022,0.1032
AC41,2,0,0.0685,0.1026,0.1687,0.1383,0.1283,0.1149,0.1133
AC42,2,1,0.0689,0.1020,0.1663,0.1383,0.1280,0.1141,0.1124
AC43,2,0,0.0690,0.1012,0.1638,0.1381,0.1276,0.1141,0.1113
AC44,2,0,0.0700,0.1022,0.1638,0.1386,0.1278,0.1142,0.1120
AC45,5,0,0.0782,0.1103,0.1652,0.1429,0.1311,0.1167,0.1179
AC46,5,0,0.0767,0.1075,0.1672,0.1451,0.1333,0.1166,0.1171
AC47,5,0,0.0764,0.1077,0.1677,0.1445,0.1330,0.1164,0.1173
AC48,5,1,0.0767,0.1077,0.1672,0.1446,0.1330,0.1164,0.1172
AC49,5,0,0.0763,0.1067,0.1653,0.1437,0.1319,0.1155,0.1161
AC50,7,1,0.0928,0.1310,0.1976,0.1630,0.1499,0.1275,0.1405
AC51,6,1,0.1107,0.1551,0.1491,0.1612,0.1466,0.1341,0.1383
AC52,8,0,0.0666,0.0887,0.1319,0.1300,0.1203,0.1008,0.0958
AC53,8,1,0.0719,0.0964,0.1442,0.1346,0.1247,0.1050,0.1042
AC54,9,0,0.0886,0.1218,0.1788,0.1560,0.1439,0.1218,0.1297
AC55,9,0,0.0896,0.1222,0.1777,0.1568,0.1444,0.1220,0.1298
AC56,9,0,0.0899,0.1228,0.1781,0.1564,0.1442,0.1217,0.1302
AC57,9,0,0.0909,0.1235,0.1778,0.1564,0.1440,0.1215,0.1307
AC58,9,1,0.0907,0.1238,0.1776,0.1571,0.1448,0.1221,0.1307
AC59,9,0,0.0917,0.1243,0.1781,0.1577,0.1451,0.1217,0.1314
AC60,9,0,0.0926,0.1248,0.1774,0.1576,0.1448,0.1212,0.1316
AC61,9,0,0.0933,0.1256,0.1773,0.1587,0.1458,0.1220,0.1320
