id,location_x,location_y,start,end,rate_sccm,density kg/m3
1,0.45,0.03,2022-06-10 11:42:00,2022-06-10 11:43:00,0.1,1.872
2,0.45,0.03,2022-06-10 11:43:00,2022-06-10 11:44:00,0.2,1.872
3,0.45,0.03,2022-06-10 11:44:00,2022-06-10 11:45:00,0.5,1.872
4,0.45,0.03,2022-06-10 11:45:00,2022-06-10 11:46:00,1.0,1.872
5,0.45,0.03,2022-06-10 11:46:00,2022-06-10 11:47:00,1.5,1.872
6,0.45,0.03,2022-06-10 11:47:00,2022-06-10 12:32:00,2.0,1.872
7,0.45,0.03,2022-06-10 12:32:00,2022-06-10 12:33:00,1.5,1.872
8,0.45,0.03,2022-06-10 12:33:00,2022-06-10 12:34:00,1.0,1.872
9,0.45,0.03,2022-06-10 12:34:00,2022-06-10 12:35:00,0.5,1.872
10,0.45,0.03,2022-06-10 12:35:00,2022-06-10 12:36:00,0.2,1.872
11,0.45,0.03,2022-06-10 12:36:00,2022-06-10 12:37:00,0.1,1.872
12,0.72,0.18,2022-06-10 12:40:40,2022-06-10 12:41:40,0.1,1.872
13,0.72,0.18,2022-06-10 12:41:40,2022-06-10 12:42:40,0.2,1.872
14,0.72,0.18,2022-06-10 12:42:40,2022-06-10 12:43:40,0.5,1.872
15,0.72,0.18,2022-06-10 12:43:40,2022-06-10 12:44:40,1.0,1.872
16,0.72,0.18,2022-06-10 12:44:40,2022-06-10 12:45:40,1.5,1.872
17,0.72,0.18,2022-06-10 12:45:40,2022-06-10 14:00:40,2.0,1.872
18,0.72,0.18,2022-06-10 14:00:40,2022-06-10 14:01:40,1.5,1.872
19,0.72,0.18,2022-06-10 14:01:40,2022-06-10 14:02:40,1.0,1.872
20,0.72,0.18,2022-06-10 14:02:40,2022-06-10 14:03:40,0.5,1.872
21,0.72,0.18,2022-06-10 14:03:40,2022-06-10 14:04:40,0.2,1.872
22,0.72,0.18,2022-06-10 14:04:40,2022-06-10 14:05:40,0.1,1.872
23,0.72,0.18,2022-06-10 14:05:40,2022-06-15 14:56:10,0.0,1.872
