id,location_x,location_y,start,end,flow_percent,rate_sccm,density kg/m3
1,0.45,0.03,2023-02-09 12:59:10,2023-02-09 13:00:10,1.0,0.1,1.872
2,0.45,0.03,2023-02-09 13:00:10,2023-02-09 13:01:10,2.0,0.2,1.872
3,0.45,0.03,2023-02-09 13:01:10,2023-02-09 13:02:10,5.0,0.5,1.872
4,0.45,0.03,2023-02-09 13:02:10,2023-02-09 13:03:10,10.0,1.0,1.872
5,0.45,0.03,2023-02-09 13:03:10,2023-02-09 13:04:10,15.0,1.5,1.872
6,0.45,0.03,2023-02-09 13:04:10,2023-02-09 13:49:10,20.0,2.0,1.872
7,0.45,0.03,2023-02-09 13:49:10,2023-02-09 13:50:10,15.0,1.5,1.872
8,0.45,0.03,2023-02-09 13:50:10,2023-02-09 13:51:10,10.0,1.0,1.872
9,0.45,0.03,2023-02-09 13:51:10,2023-02-09 13:52:10,5.0,0.5,1.872
10,0.45,0.03,2023-02-09 13:52:10,2023-02-09 13:53:10,2.0,0.2,1.872
11,0.45,0.03,2023-02-09 13:53:10,2023-02-09 13:54:10,1.0,0.1,1.872
12,0.45,0.03,2023-02-09 13:54:10,2023-02-09 13:54:40,1.0,0.1,1.872
13,0.45,0.03,2023-02-09 13:54:40,2023-02-09 13:55:15,2.4,0.24,1.872
14,0.72,0.18,2023-02-09 13:55:15,2023-02-09 13:55:20,1.0,0.1,1.872
15,0.72,0.18,2023-02-09 13:55:20,2023-02-09 13:57:50,2.0,0.2,1.872
16,0.72,0.18,2023-02-09 13:57:50,2023-02-09 13:58:50,1.0,0.1,1.872
17,0.72,0.18,2023-02-09 13:58:50,2023-02-09 13:59:50,2.0,0.2,1.872
18,0.72,0.18,2023-02-09 13:59:50,2023-02-09 14:00:50,5.0,0.5,1.872
19,0.72,0.18,2023-02-09 14:00:50,2023-02-09 14:01:50,10.0,1.0,1.872
20,0.72,0.18,2023-02-09 14:01:50,2023-02-09 14:02:50,15.0,1.5,1.872
21,0.72,0.18,2023-02-09 14:02:50,2023-02-09 15:17:50,20.0,2.0,1.872
22,0.72,0.18,2023-02-09 15:17:50,2023-02-09 15:18:11,15.0,1.5,1.872
23,0.72,0.18,2023-02-09 15:18:11,2023-02-09 15:19:32,10.0,1.0,1.872
24,0.72,0.18,2023-02-09 15:19:32,2023-02-09 15:20:32,5.0,0.5,1.872
25,0.72,0.18,2023-02-09 15:20:32,2023-02-09 15:21:32,2.0,0.2,1.872
26,0.72,0.18,2023-02-09 15:21:32,2023-02-09 15:22:32,1.0,0.1,1.872
27,0.72,0.18,2023-02-09 15:22:32,2023-02-09 15:22:37,0.0,0.0,1.872
